"Activate Now","Activate Now"
"Update this license","Update this license"
"User Guide","User Guide"
FAQs,FAQs
"Change Log","Change Log"
"Check Latest Version","Check Latest Version"
"Invalid data.","Invalid data."
"Cannot connect to server. Please try again later.","Cannot connect to server. Please try again later."
Announcement,Announcement
"New & Update extensions","New & Update extensions"
"Promotions ","Promotions "
"Module Information","Module Information"
Version,Version
"Register Name","Register Name"
"Register Email","Register Email"
"This email will be used to create a new account at Droppery.com, Droppery help desk (to get priority support).","This email will be used to create a new account at Droppery.com, Droppery help desk (to get priority support)."
"Product Key","Product Key"
"One or more Droppery extensions are not validated. Click <a href=""%1"">here</a> to validate them.","One or more Droppery extensions are not validated. Click <a href=""%1"">here</a> to validate them."
"Receive extension updates and promotion offers from Droppery","Receive extension updates and promotion offers from Droppery"
"Droppery Extensions","Droppery Extensions"
Information,Information
"General Configuration","General Configuration"
"Enable Notifications","Enable Notifications"
"Select Yes to get latest updates from Droppery.","Select Yes to get latest updates from Droppery."
Category,Category
"Select categories that you want to receive notifications","Select categories that you want to receive notifications"
"Enable Droppery Menu","Enable Droppery Menu"
"If yes, the Droppery menu will be displayed on the admin navigation. All of the Droppery module menu will be displayed there.","If yes, the Droppery menu will be displayed on the admin navigation. All of the Droppery module menu will be displayed there."
